"('P0', 'id')","('P1_a ', 'Idade')","('P1_b ', 'Genero')","('P1_c ', 'Cor/raca/etnia')","('P1_d ', 'PCD')","('P1_e ', 'experiencia_profissional_prejudicada')","('P1_l ', 'Nivel de Ensino')","('P1_m ', 'Área de Formação')","('P2_a ', 'Qual sua situação atual de trabalho?')","('P2_g ', 'Nivel')","('P2_h ', 'Faixa salarial')","('P2_m ', 'Você participou de entrevistas de emprego nos últimos 6 meses?')","('P2_o ', 'Quais os principais critérios que você leva em consideração no momento de decidir onde trabalhar?')","('P2_p ', 'Atualmente qual a sua forma de trabalho?')"
ogycxmxhbjruuodapqucw0w28eklxf8d,25.0,Feminino,Branca,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Pleno,de R$ 8.001/mês a R$ 12.000/mês,Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses,"Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área, Plano de carreira e oportunidades de crescimento profissional",Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
ogn18zmcwcvlfhek1kiogn18z7jyyf1o,34.0,Feminino,Branca,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),,de R$ 12.001/mês a R$ 16.000/mês,Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses,Remuneração/Salário,Modelo 100% remoto
ogbayyi0ck8v1l185jxtz2ogbaymh1bn,42.0,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),,de R$ 30.001/mês a R$ 40.000/mês,Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses,"Remuneração/Salário, Flexibilidade de trabalho remoto, Ambiente e clima de trabalho",Modelo 100% presencial
og8o4pbhdamndpybog8dqh44819eh791,20.0,Masculino,Branca,Não,,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Estagiário,Júnior,de R$ 2.001/mês a R$ 3.000/mês,Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses,"Propósito do trabalho e da empresa, Oportunidade de aprendizado e trabalhar com referências na área, Remuneração/Salário",Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
og0mhoi1ej2giatog0mhb52ozkm7un9x,34.0,Masculino,Branca,Não,,Pós-graduação,Outras Engenharias,Empregado (CLT),,de R$ 12.001/mês a R$ 16.000/mês,Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses,"Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área",Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
oflcan0wl967kwn4ryehsoflca10okjw,38.0,Masculino,Branca,Não,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),,de R$ 12.001/mês a R$ 16.000/mês,Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses,"Maturidade da empresa em termos de tecnologia e dados, Reputação que a empresa tem no mercado, Ambiente e clima de trabalho",Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
ofkav4m37dy8kxofk2enctuexs495h6h,24.0,Masculino,Parda,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia, Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero, Sim, acredito que minha experiência profissional seja afetada devido ao fato de ser PCD",Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Estagiário,Júnior,de R$ 1.001/mês a R$ 2.000/mês,"Sim, fui aprovado e mudei de emprego","Remuneração/Salário, Ambiente e clima de trabalho, Oportunidade de aprendizado e trabalhar com referências na área",Modelo 100% presencial
ofidcjb9isi4eu6fezsdwofidcjzgy52,28.0,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Pleno,de R$ 2.001/mês a R$ 3.000/mês,"Sim, fiz entrevistas mas não fui aprovado","Remuneração/Salário, Benefícios, Oportunidade de aprendizado e trabalhar com referências na área",Modelo 100% presencial
of31td08jotndj8zpof31td9jue9nn5c,39.0,Masculino,Branca,Não,,Graduação/Bacharelado,Marketing / Publicidade / Comunicação / Jornalismo,Empregado (CLT),,de R$ 16.001/mês a R$ 20.000/mês,Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses,Remuneração/Salário,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
oertd1vghvrtm4js8oertqenzr1u61ea,21.0,Feminino,Branca,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",Não tenho graduação formal,,Freelancer,Júnior,de R$ 2.001/mês a R$ 3.000/mês,Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses,"Flexibilidade de trabalho remoto, Remuneração/Salário, Ambiente e clima de trabalho",Modelo 100% presencial
